horizon_step,MAE_per_step,RMSE_per_step,Anom_MAE_per_step,Anom_RMSE_per_step,Overall_MAE,Overall_RMSE,Overall_Anomaly_MAE,Overall_Anomaly_RMSE
1,0.8207192288866938,1.5067685796451031,3.535074857743541,4.368271122301939,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
2,1.0797256281578989,2.0119681092532886,4.771238783324726,5.7824101990752546,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
3,1.3109408617334537,2.407356754425915,5.763770026004676,6.870015901543517,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
4,1.5171157950620489,2.7441087378757545,7.327166877645638,8.349823164645445,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
5,1.6647527047875552,3.006880220447174,8.717337513564235,9.62837015791961,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
6,1.8032389573190946,3.239089853013487,9.87062696422704,10.67081159565785,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
7,1.9282019379825337,3.437625216635352,10.64318421505191,11.398709472221528,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
8,2.0502289487272694,3.6483475998684445,11.81785864131362,12.48873000800394,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
9,2.159802791324904,3.8288229943991547,12.759686357187746,13.381956878891552,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
10,2.2573428505149313,3.995080777734959,13.649988612680547,14.241570642479616,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
11,2.3429106203011414,4.126966717977614,14.152019991933763,14.75186608290846,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
12,2.4099870702138273,4.248800351551452,14.824207269146317,15.405433008312277,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
13,2.475707422311042,4.367371546118331,15.464239535912238,16.04075218517266,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
14,2.5355424174533487,4.459424715755661,15.874007610726792,16.45508239079834,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
15,2.5680072190813727,4.537906426820436,16.42068667770705,16.976473540913215,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
16,2.6040934884339775,4.605322127274952,16.774320423072446,17.326513400487467,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
17,2.629403851836155,4.674589945958781,17.13305997207296,17.683334980919255,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
18,2.6511567865972974,4.714855323650946,17.296577790010588,17.83813711744227,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
19,2.6801866464553084,4.7663510722602025,17.479605288043178,18.021808132704358,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
20,2.6910580459255358,4.803178260244425,17.76534664677127,18.28635665934162,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
21,2.7040983147103668,4.846081737225339,18.030327207360802,18.535378576362874,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
22,2.724827362216325,4.886106851524834,18.205353887102532,18.70664960426427,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
23,2.740957559946763,4.925626787443706,18.390648416863804,18.89063459408172,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
24,2.757073670750523,4.963113298144772,18.546265723005614,19.050838937462178,2.2127950075303904,3.947989333552087,13.550524970353043,14.214580348079636
